product_id,sku,product_name,category,sub_category,launch_year,standard_cost,unit_price,is_core_product,supplier_id
1,NI-1001,Nike React Infinity Run 1,Running Shoes,Performance,2021,61.39,125.71,No,5
2,NI-1002,Nike Air Zoom Pegasus 2,Running Shoes,Performance,2023,88.02,200.36,No,3
3,NI-1003,Nike Downshifter 3,Running Shoes,Casual,2025,22.83,182.39,Yes,14
4,NI-1004,Nike Court Vision 4,Lifestyle Footwear,Casual,2021,22.2,143.64,Yes,13
5,NI-1005,Nike Court Vision 5,Lifestyle Footwear,Casual,2024,29.75,140.44,No,4
6,NI-1006,Nike Revolution 6 6,Running Shoes,Casual,2023,25.39,127.67,Yes,4
7,NI-1007,Nike React Infinity Run 1,Running Shoes,Performance,2020,76.57,172.34,No,2
8,NI-1008,Nike City Streetwear Hoodie 2,Sportswear,Lifestyle,2024,81.83,62.57,Yes,12
9,NI-1009,Nike Air Force 1 3,Lifestyle Footwear,Lifestyle,2024,27.7,102.79,Yes,7
10,NI-1010,Nike Gym Essential Tee 4,Sportswear,Training,2021,20.49,78.41,Yes,20
11,NI-1011,Nike Training Backpack 5,Accessories,Utility,2019,28.39,40.32,No,5
12,NI-1012,Nike Air Max 270 6,Lifestyle Footwear,Lifestyle,2022,45.45,177.18,No,9
13,NI-1013,Nike Air Zoom Pegasus 1,Running Shoes,Performance,2020,69.86,109.25,No,7
14,NI-1014,Nike Air Force 1 2,Lifestyle Footwear,Lifestyle,2020,55.19,85.15,Yes,17
15,NI-1015,Nike Metcon Trainer 3,Sportswear,Training,2024,30.14,76.6,No,1
16,NI-1016,Nike Court Vision 4,Lifestyle Footwear,Casual,2025,73.31,103.76,No,4
17,NI-1017,Nike Infinity Road 5,Running Shoes,Performance,2022,88.84,141.85,No,5
18,NI-1018,Nike Academy Backpack 6,Accessories,Utility,2019,30.55,53.11,No,16
19,NI-1019,Nike Air Zoom Pegasus 1,Running Shoes,Performance,2022,42.82,118.63,No,3
20,NI-1020,Nike City Streetwear Hoodie 2,Sportswear,Lifestyle,2025,32.21,93.73,Yes,19
21,NI-1021,Nike Metcon Trainer 3,Sportswear,Training,2021,43.87,44.65,No,18
22,NI-1022,Nike City Streetwear Hoodie 4,Sportswear,Lifestyle,2022,32.25,118.48,No,10
23,NI-1023,Nike Training Backpack 5,Accessories,Utility,2020,89.74,87.41,No,17
24,NI-1024,Nike Court Vision 6,Lifestyle Footwear,Casual,2019,44.44,152.6,No,9
25,NI-1025,Nike Everyday Socks 1,Accessories,Utility,2022,25.89,27.12,No,1
26,NI-1026,Nike Gym Essential Tee 2,Sportswear,Training,2024,85.81,117.76,Yes,20
27,NI-1027,Nike Downshifter 3,Running Shoes,Casual,2020,53.99,148.3,No,14
28,NI-1028,Nike Air Zoom Pegasus 4,Running Shoes,Performance,2019,21.27,154.21,Yes,4
29,NI-1029,Nike ZoomX Vaporfly 5,Running Shoes,Competition,2025,70.47,130.05,No,8
30,NI-1030,Nike Training Backpack 6,Accessories,Utility,2024,38.56,33.3,No,19
31,NI-1031,Nike Dri-FIT Tee 1,Sportswear,Training,2021,50.41,64.76,No,13
32,NI-1032,Nike Downshifter 2,Running Shoes,Casual,2019,33.67,183.92,Yes,15
33,NI-1033,Nike Revolution 6 3,Running Shoes,Casual,2019,23.05,219.29,No,3
34,NI-1034,Nike Metcon Trainer 4,Sportswear,Training,2021,72.34,116.01,Yes,14
35,NI-1035,Nike Dri-FIT Tee 5,Sportswear,Training,2021,88.62,41.4,Yes,14
36,NI-1036,Nike React Infinity Run 6,Running Shoes,Performance,2021,31.86,162.38,No,1
